ac_year,state_name,district_code,district_name,vilcd,vilname,schcd,schname,habname,blkname,schmgt_desc,schcat_desc,rururb,lat,long
2015-16,Mizoram                       ,1504,CHAMPHAI,150402006,TUALPUI,15040200602,GOVT. TUALPUI P/S,TUALPUI,"SDEO, KHAWZAWL",Department of Education,Primary,Rural,23.5875281,93.24367315
2015-16,Mizoram                       ,1504,CHAMPHAI,150402007,NGAIZAWL,15040200701,GOVT. NGAIZAWL M/S,NGAIZAWL,"SDEO, KHAWZAWL",Department of Education,Upper Primary only,Rural,23.54140586,93.26090634
2015-16,Mizoram                       ,1504,CHAMPHAI,150402007,NGAIZAWL,15040200702,GOVT. NGAIZAWL P/S,NGAIZAWL,"SDEO, KHAWZAWL",Department of Education,Primary,Rural,23.54161241,93.25781107
2015-16,Mizoram                       ,1504,CHAMPHAI,150402007,NGAIZAWL,15040200703,"ST.JOSEPH'S SCHOOL, NGAIZAWL",NGAIZAWL,"SDEO, KHAWZAWL",Church                                                                     ,Primary,Rural,23.54237961,93.25714588
2015-16,Mizoram                       ,1504,CHAMPHAI,150402007,NGAIZAWL,15040200704,NGAIZAWL HIGH SCHOOL,NGAIZAWL,"DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Rural,23.542727,93.257232
2015-16,Mizoram                       ,1504,CHAMPHAI,150402008,ARRO,15040200801,GOVT. ARRO P/S,ARRO,"SDEO, KHAWZAWL",Department of Education,Primary,Rural,23.53423284,93.13551039
2015-16,Mizoram                       ,1504,CHAMPHAI,150402008,ARRO,15040200802,ARRO UP/S (SSA),ARRO,"SDEO, KHAWZAWL",SSA                                                                        ,Upper Primary only,Rural,23.53445416,93.13592076
2015-16,Mizoram                       ,1504,CHAMPHAI,150402009,HMUNCHENG,15040200901,GOVT. HMUNCHENG P/S,HMUNCHENG,"SDEO, KHAWZAWL",Department of Education,Primary,Rural,23.47185264,93.12372208
2015-16,Mizoram                       ,1504,CHAMPHAI,150402009,HMUNCHENG,15040200902,HMUNCHENG UP/S (SSA),HMUNCHENG,"SDEO, KHAWZAWL",SSA                                                                        ,Upper Primary only,Rural,23.47144178,93.12468231
2015-16,Mizoram                       ,1504,CHAMPHAI,150402010,TUALTE,15040201001,GOVT. TUALTE M/S,TUALTE,"SDEO, KHAWZAWL",Department of Education,Upper Primary only,Rural,23.4140359,93.20673376
2015-16,Mizoram                       ,1504,CHAMPHAI,150402010,TUALTE,15040201002,GOVT. TUALTE P/S,TUALTE,"SDEO, KHAWZAWL",Department of Education,Primary,Rural,23.41399406,93.20721924
2015-16,Mizoram                       ,1504,CHAMPHAI,150402010,TUALTE,15040201003,"PRESBYTERIAN ENGLISH SCHOOL, TUALTE",TUALTE,"SDEO, KHAWZAWL",Church                                                                     ,Primary,Rural,23.41409906,93.20721924
